website,linkedin_name,specialties,linkedin_url
http://www.captify.co.uk,Captify,data,www.linkedin.com/company/2704966
www.capula.co.uk,Capula,data,www.linkedin.com/company/48470
www.caradigm.co.uk,Caradigm Europe,data,www.linkedin.com/company/3508288
www.carallon.com,Carallon Ltd,software,www.linkedin.com/company/1489808
http://www.carboncredentials.com/,Carbon Credentials,data,www.linkedin.com/company/1591564
www.carbonsmart.co.uk,Carbon Smart,data,www.linkedin.com/company/263326
hiring.careerbuilder.co.uk,CareerBuilder.co.uk (For Employers),software,www.linkedin.com/company/2936906
www.careyolsen.com,Carey Olsen,investment,www.linkedin.com/company/54522
http://www.6dg.co.uk,Carrenza Ltd,cloud,www.linkedin.com/company/141562
www.castandcrew.com,Cast & Crew Entertainment Services,technology,www.linkedin.com/company/113134
https://www.castsoftware.com,CAST,software cloud,www.linkedin.com/company/162909
https://www.cdfairfieldcapital.com,CD Fairfield Capital Ltd,investment,www.linkedin.com/company/3740511
www.cdcgroup.com,CDC Group plc,investment,www.linkedin.com/company/356162
http://www.cdw.com,CDW,technology,www.linkedin.com/company/3334
http://www.celestialglobe.co.uk/,Celestial Globe Consultancy Ltd,investment,www.linkedin.com/company/2936757
www.CentrePointSoftware.co.uk,CentrePoint Software Ltd,software,www.linkedin.com/company/5241526
www.stratfordtele.com,Stratford upon Avon Telecom Limited,data,www.linkedin.com/company/28186098
http://www.cfainstitute.org/,CFA Institute,investment,www.linkedin.com/company/162977
https://retinel.com,CGI Retinel Group Pte Ltd,cloud,www.linkedin.com/company/3764448
http://www.staffituk.com/index.html,Staff IT UK,data,www.linkedin.com/company/11243654
http://www.chapmanblack.com,ChapmanBlack (powered by Endorsed),software,www.linkedin.com/company/54770
http://www.cfg.org.uk,Charity Finance Group,investment,www.linkedin.com/company/352092
https://www.crd.com,Charles River Development,investment software data,www.linkedin.com/company/6816
www.chartis.com,The Chartis Group,technology,www.linkedin.com/company/38109
www.cherieblairfoundation.org,Cherie Blair Foundation for Women,technology,www.linkedin.com/company/5260195
http://www.chiarotech.com,Chiaro Technologies-Acquired by Cognex,data,www.linkedin.com/company/3073729
http://www.choiceindia.com,Choice International Limited,investment,www.linkedin.com/company/847297
http://www.choiceholding.com,Choice Technologies Holding Sàrl,data,www.linkedin.com/company/538124
chrystalcapital.com,Chrystal Capital Partners LLP,technology investment,www.linkedin.com/company/1315756
https://www.cigniti.com,Cigniti Technologies,software,www.linkedin.com/company/136654
www.cirdancapital.com,Cirdan Capital Management ,investment,www.linkedin.com/company/5077354
cirrico.com,Cirrico,cloud technology,www.linkedin.com/company/5082212
http://www.citicourtandco.com/,Citicourt & Co,investment,www.linkedin.com/company/20016740
cityfinancial.co.uk,City Financial Investment Company Limited,investment,www.linkedin.com/company/1380033
cityfinancial.co.uk,City Financial Investment Company Limited,investment,www.linkedin.com/company/1380033
http://www.claranet.co.uk,Claranet,cloud,www.linkedin.com/company/163097
